temperature,humidity,co2,feed,age_week,survival_rate,daily_gain
27.48,60.76,1657,1.475,2,71.17,51.74
20.78,79.38,1185,1.802,7,60.0,40.0
29.17,45.29,963,1.491,3,60.0,40.0
25.95,31.43,734,1.022,5,60.0,40.0
13.88,72.66,763,1.951,9,60.0,40.0
31.51,68.63,2135,1.78,2,60.0,40.0
27.22,60.0,1862,1.497,4,73.32,60.38
27.72,74.84,992,1.036,2,60.0,40.0
14.56,76.2,1447,1.494,4,60.0,40.0
21.01,62.33,1743,1.053,3,84.28,94.42
19.42,83.13,1164,0.648,9,60.0,40.0
30.54,69.58,1304,1.39,3,60.0,40.0
24.88,67.23,1749,1.517,6,69.48,49.84
28.46,49.88,964,0.959,2,69.02,53.67
20.87,30.12,1442,1.887,5,60.0,40.0
16.54,43.25,936,1.767,8,60.0,40.0
23.09,72.02,605,1.333,7,60.0,40.0
13.28,69.04,1704,0.496,3,60.0,40.0
28.55,48.21,1732,0.428,9,60.0,40.0
24.63,64.41,2193,1.424,8,75.53,64.07
27.16,40.74,890,1.702,4,60.0,40.0
19.09,44.5,1783,1.201,9,68.69,57.72
31.41,82.11,2117,0.438,2,60.0,40.0
29.86,52.72,1631,0.632,3,60.0,40.0
27.57,43.47,2141,0.738,9,60.0,40.0
15.89,56.79,2191,1.404,9,69.52,57.17
21.33,51.29,1883,1.178,8,89.45,100.94
12.88,70.12,2199,0.564,2,60.0,40.0
15.09,82.92,1601,1.203,2,60.0,40.0
25.66,62.55,1395,1.791,6,77.66,72.58
26.9,62.51,2068,1.103,1,71.75,56.39
31.35,50.07,1930,0.64,9,60.0,40.0
18.52,61.05,776,1.325,9,84.7,88.91
19.41,47.56,1084,1.887,8,83.78,87.81
21.39,30.06,1017,0.585,9,60.0,40.0
15.79,77.64,1968,0.65,3,60.0,40.0
14.6,53.62,973,1.307,8,64.89,41.14
21.51,57.06,1086,0.944,3,94.58,113.59
16.54,34.59,1430,1.833,2,60.0,40.0
25.4,76.04,722,1.54,3,60.0,40.0
20.74,39.37,2138,0.635,7,60.0,40.0
28.65,52.58,1386,1.793,9,70.46,54.92
26.01,76.21,905,1.428,6,60.0,40.0
18.25,55.18,1033,1.19,3,87.67,100.56
28.65,81.21,1877,0.81,6,60.0,40.0
28.1,41.51,1614,1.44,5,60.0,40.0
19.75,69.34,1343,1.838,5,60.3,40.0
17.77,83.79,1131,0.462,4,60.0,40.0
25.65,60.23,2041,1.0,2,79.52,82.17
14.8,68.07,1836,1.897,4,60.0,40.0
16.0,51.63,1749,1.013,9,70.3,51.34
12.15,71.32,1314,0.457,4,60.0,40.0
27.74,79.99,2170,0.562,1,60.0,40.0
25.3,68.67,1736,1.505,4,60.0,40.0
26.1,81.48,1278,1.52,5,60.0,40.0
27.61,62.38,2137,0.584,6,64.29,40.0
21.18,61.74,2033,0.751,6,84.0,83.34
23.37,46.75,1784,1.302,4,83.35,83.99
14.8,69.03,1827,1.498,2,60.0,40.0
14.29,78.51,1278,0.651,4,60.0,40.0
25.37,65.55,1412,1.13,1,71.34,58.32
21.42,42.82,906,1.299,5,77.57,66.74
23.3,59.93,1553,0.48,5,86.86,94.75
27.3,71.58,1192,0.758,4,60.0,40.0
24.69,81.66,1156,1.87,6,60.0,40.0
23.07,38.61,2117,1.808,7,60.0,40.0
23.18,37.01,864,0.916,3,60.0,40.0
18.08,52.71,1928,1.789,5,81.93,82.27
12.62,36.91,1050,1.412,5,60.0,40.0
20.73,83.92,646,1.971,5,60.0,40.0
16.29,53.34,665,1.946,4,74.56,66.38
20.17,59.35,1287,1.387,2,88.45,99.22
29.07,42.49,1327,1.149,2,60.0,40.0
16.68,54.7,1112,0.628,1,80.21,78.87
13.17,84.16,1670,1.249,1,60.0,40.0
17.63,56.88,1377,1.037,8,82.33,79.96
17.87,30.49,719,1.433,1,60.0,40.0
25.24,43.34,1157,0.543,8,65.01,47.08
23.14,83.82,763,1.736,9,60.0,40.0
27.68,84.4,701,1.947,3,60.0,40.0
25.29,41.58,933,0.735,4,60.97,40.0
20.13,63.84,1721,1.412,4,79.52,77.4
28.28,34.23,1714,1.683,4,60.0,40.0
15.34,61.76,1978,1.287,4,62.73,40.0
12.45,36.93,1810,1.897,4,60.0,40.0
13.8,75.03,1457,1.219,7,60.0,40.0
26.45,81.68,1100,0.833,4,60.0,40.0
21.24,39.51,609,1.155,2,60.63,40.0
15.23,55.45,1635,1.181,4,71.62,55.97
22.02,35.61,1064,0.806,9,60.0,40.0
15.05,48.65,1000,1.659,9,65.19,40.89
25.93,33.58,2160,1.388,1,60.0,40.0
20.92,44.55,879,0.993,6,78.27,77.22
19.62,84.46,652,1.075,9,60.0,40.0
18.03,32.45,2119,0.995,2,60.0,40.0
24.61,77.24,1090,1.117,1,60.0,40.0
19.24,34.26,1229,1.245,2,60.0,40.0
13.75,59.09,729,0.929,3,60.0,40.0
14.36,54.87,1247,1.709,9,65.58,42.78
31.24,81.24,2156,1.885,3,60.0,40.0
30.17,40.95,1710,1.236,3,60.0,40.0
25.99,39.88,1358,1.538,3,60.0,40.0
17.32,71.18,1092,1.889,4,60.0,40.0
31.38,69.91,1186,0.707,9,60.0,40.0
27.58,68.45,1578,0.704,1,60.0,40.0
26.34,31.44,1007,0.516,5,60.0,40.0
20.99,44.3,843,1.107,6,78.8,76.27
17.44,76.19,1714,0.93,2,60.0,40.0
13.93,63.05,1991,1.297,1,60.0,40.0
30.05,63.12,2042,1.122,9,60.0,40.0
21.12,46.28,1946,0.704,3,77.96,79.84
16.05,44.31,1449,1.026,3,60.0,40.0
18.12,82.06,1862,0.446,4,60.0,40.0
23.58,70.03,2082,1.26,1,60.0,40.0
15.54,36.98,637,0.834,2,60.0,40.0
29.13,81.57,1259,0.58,1,60.0,40.0
27.17,62.03,927,0.505,5,71.92,58.47
26.39,48.33,2195,1.543,5,75.44,62.55
20.64,51.84,2087,0.796,3,90.39,102.95
24.55,69.9,1883,1.454,9,60.0,40.0
23.68,50.69,1073,1.705,3,89.3,102.72
25.0,61.83,2123,1.2,1,78.72,77.41
13.69,69.08,647,0.613,1,60.0,40.0
20.32,40.75,901,1.383,7,64.51,42.22
12.83,81.93,1587,0.515,5,60.0,40.0
21.88,49.59,1869,1.707,3,86.48,93.99
18.6,53.07,2014,1.618,3,81.55,86.85
14.89,68.42,1081,1.043,2,60.0,40.0
14.07,63.48,1225,0.831,4,60.0,40.0
23.75,54.21,1328,1.535,7,95.22,112.67
