temperature,humidity,co2,feed,age_week,daily_gain,survival_rate
22.91,44.2,1042,1.337,0,0.8,88.84
18.09,59.5,665,1.065,1,0.932,88.98
24.64,60.3,1219,1.489,4,1.046,89.08
19.42,60.7,583,1.361,3,1.001,90.52
21.45,48.9,1232,1.007,2,0.852,90.67
20.94,61.0,1077,1.227,4,1.041,91.65
28.42,45.7,964,0.915,4,0.841,85.59
25.39,51.1,765,0.897,4,0.925,89.71
24.23,58.4,866,1.221,3,0.942,90.05
22.66,62.9,1187,1.338,3,0.913,91.77
22.87,60.4,606,1.058,2,0.953,93.08
20.08,53.9,1369,0.795,5,0.83,92.79
16.95,56.0,692,1.208,5,1.015,88.76
24.38,49.6,803,1.37,3,1.14,89.91
18.17,47.2,423,1.177,3,0.993,87.92
24.07,49.1,987,1.287,3,1.022,90.28
23.37,47.4,748,0.98,1,0.818,90.33
23.46,49.2,897,1.238,4,0.965,90.96
24.0,52.4,836,1.098,0,0.903,89.07
17.66,45.8,400,1.137,1,0.874,86.84
20.87,68.5,935,1.362,1,0.975,84.5
21.38,46.3,645,1.31,0,0.919,90.49
23.3,56.2,802,0.702,3,1.008,91.77
20.41,58.6,871,1.566,3,1.042,92.39
18.93,59.3,860,1.475,5,1.129,91.63
23.07,68.3,788,0.994,1,0.784,90.95
20.83,42.6,841,0.961,0,0.865,88.84
18.95,60.6,1117,1.661,8,1.213,89.85
23.24,44.4,400,1.181,2,0.891,89.45
20.75,50.1,716,1.381,4,1.057,92.48
21.52,45.4,400,0.933,3,0.974,90.09
27.3,51.8,1770,0.998,0,0.757,85.58
19.1,50.4,1527,0.772,4,0.774,87.93
19.29,66.3,1069,1.058,3,0.869,89.02
20.04,61.0,740,0.741,0,0.86,88.12
22.52,69.9,1306,1.129,4,0.888,88.16
25.92,53.9,983,1.48,4,1.053,87.88
26.61,52.9,743,0.765,6,0.967,90.93
27.17,49.0,988,1.582,1,0.845,86.0
19.32,63.5,755,1.102,3,0.905,90.13
23.01,67.8,1266,1.354,0,0.831,88.14
21.85,47.0,482,0.822,2,0.911,92.47
24.75,39.9,828,0.933,2,0.912,87.32
25.01,57.7,1933,1.088,2,0.865,86.07
